- 10050 202401      THUNDER BAY, ONTARIO             18320024825 8913      EST1
- 10920 202407      GROS CAP, ONTARIO                18320024850 8731      EST1
5 10920 2024070110      18349183431834818351183511835118348183491835018353
5 10920 2024071120      18351183491834718348183501835218355183521835018352
5 10920 20240721311834931835118350183501835218350183461834418344183461834918348
6 10920 202407     9999999999999999999999 999 99
- 10920 202408      GROS CAP, ONTARIO                18320024850 8731      EST1
5 10920 2024080110      18347183491835018350183501835018345183461835018357
5 10920 2024081120      18355183511834918347183431834318350183521834918347
5 10920 20240821311834711834618345183441834518343183421834718344183391834118344
6 10920 202408     9999999999999999999999 999 99
- 10920 202409      GROS CAP, ONTARIO                18320024850 8731      EST1
5 10920 2024090110      18355183471834318342183481835118350183461834618340
5 10920 2024091120      18340183421834118339183381833918338183391833718337
5 10920 202409213018341918339183461834118338183421833918339183411834118333
6 10920 202409     9999999999999999999999 999 99
- 10920 202410      GROS CAP, ONTARIO                18320024850 8731      EST1
5 10920 2024100110      18344183351834118341183271834718344183431833918332
5 10920 2024101120      18339183351833118333183381833118325183241832818330
5 10920 20241021311833301832818326183381832818335183371832718316183211833018331
6 10920 202410     9999999999999999999999 999 99
- 10920 202411      GROS CAP, ONTARIO                18320024850 8731      EST1
5 10920 2024110110      18332183231831918322183311833218332183371832518327
5 10920 2024111120      18338183261831918325183271832218324183251831118330
5 10920 202411213018329218331183341833418329183261833818337183381834118340
6 10920 202411     9999999999999999999999 999 99
- 10920 202412      GROS CAP, ONTARIO                18320024850 8731      EST1
5 10920 2024120110      18333183301832718334183361833018326183261831918331
5 10920 2024121120      18330183401833018317183161831918332183321832118327
5 10920 20241221311832471832218313183221831918317183151831318317183221832818323
6 10920 202412     9999999999999999999999 999 99
- 10980 202401      SAULT STE MARIE, ONTARIO         18300024631 8422      EST1
5 10980 2024010110      18319183221832618322183201831018321183171831018322
5 10980 2024011120      18314183071832218326183221831318317183151831418317
5 10980 20240121311831471830918312183061830718308183101831018313183061831018310
6 10980 202401     9999999999999999999999 999 99
- 10980 202402      SAULT STE MARIE, ONTARIO         18300024631 8422      EST1
5 10980 2024020110      18314183081830718311183101830218303182961831018320
5 10980 2024021120      18314183121831318306183211831718309183181830518298
5 10980 2024022129183088183051830618311183011830618293183041833418300
6 10980 202402     9999999999999999999999 999 99
- 10980 202403      SAULT STE MARIE, ONTARIO         18300024631 8422      EST1
5 10980 2024030110      18292182971828618301183091830618298183051831518318
5 10980 2024031120      18303183011830618307183041831118320183111831518321
5 10980 20240321311830491830318302183041829418291182921830918309183091830618306
6 10980 202403     9999999999999999999999 999 99
- 10980 202404      SAULT STE MARIE, ONTARIO         18300024631 8422      EST1
5 10980 2024040110      18306183001830318306183101830818301182981830518303
5 10980 2024041120      18305183241831018307183091830218290183081831218317
5 10980 202404213018306318314183051831318310183041829718303183091830018311
6 10980 202404     9999999999999999999999 999 99
- 10980 202405      SAULT STE MARIE, ONTARIO         18300024631 8422      EST1
5 10980 2024050110      18311183131831018312183161831218308183141831418312
5 10980 2024051120      18314183061831618316183141831018311183051831118311
5 10980 20240521311831321831018309183171831318312183141832118323183221831818314
6 10980 202405     9999999999999999999999 999 99
- 10980 202406      SAULT STE MARIE, ONTARIO         18300024631 8422      EST1
5 10980 2024060110      18315183181831218313183151832118326183231832918329
5 10980 2024061120      18320183191832418327183201831518324183201832918333
5 10980 202406213018325318331183311833718330183281833718332183241833718340
6 10980 202406     9999999999999999999999 999 99
- 10980 202407      SAULT STE MARIE, ONTARIO         18300024631 8422      EST1
5 10980 2024070110      18333183251833118334183351833518331183311833418336
5 10980 2024071120      18334183311832918330183321833618339183361833318335
5 10980 20240721311833201833318332183311833518333183281832518325183281833118332
6 10980 202407     9999999999999999999999 999 99
- 10980 202408      SAULT STE MARIE, ONTARIO         18300024631 8422      EST1
5 10980 2024080110      18329183321833318333183341833318327183291833418341
5 10980 2024081120      18339183361833318330183251832418332183341833118331
5 10980 20240821311832981832918328183261832718325183231832818326183201832418327
6 10980 202408     9999999999999999999999 999 99
- 10980 202409      SAULT STE MARIE, ONTARIO         18300024631 8422      EST1
5 10980 2024090110      18341183301832618325183311833418334183281833018323
5 10980 2024091120      18322183251832318321183201832218322183221831918317
5 10980 202409213018324818322183291832418320183261832218321183241832518315
6 10980 202409     9999999999999999999999 999 99
- 10980 202410      SAULT STE MARIE, ONTARIO         18300024631 8422      EST1
5 10980 2024100110      18329183181832518324183071833218330183291832418315
5 10980 2024101120      18325183201831418317183251831718309183081831218314
5 10980 20241021311831721831218309183251831218321183231830918296183041831518313
6 10980 202410     9999999999999999999999 999 99
- 10980 202411      SAULT STE MARIE, ONTARIO         18300024631 8422      EST1
5 10980 2024110110      18316183071829918304183161831718318183241830918311
5 10980 2024111120      18324183101830018308183121830718307183101829018315
5 10980 202411213018313818315183201832218314183091832518324183251832818327
6 10980 202411     9999999999999999999999 999 99
- 10980 202412      SAULT STE MARIE, ONTARIO         18300024631 8422      EST1
5 10980 2024120110      18319183151831318321183231831718311183121829918317
5 10980 2024121120      18315183291831618299182971830318320183201830418312
5 10980 20241221311830961830618295183061830318302182981829518300183071831618309
6 10980 202412     9999999999999999999999 999 99
- 11010 202401      SAULT STE MARIE, ONTARIO         17638024631 8421      EST1
5 11010 2024010110      17657176661766017658176601766717658176591766317645
5 11010 2024011120      17662176631764817660176721767617677176781767017668
5 11010 20240121311766401767417679176711766617665176621766117656176611766317659
6 11010 202401     9999999999999999999999 999 99
- 11010 202402      SAULT STE MARIE, ONTARIO         17638024631 8421      EST1
5 11010 2024020110      17663176571765517654176571765917660176631766217655
5 11010 2024021120      17653176591765317657176561765317658176601766617661
5 11010 2024022129176574176611765817653176521766017660176571763617667
6 11010 202402     9999999999999999999999 999 99
- 11010 202403      SAULT STE MARIE, ONTARIO         17638024631 8421      EST1
5 11010 2024030110      17666176591766017657176501764917652176501764417634
5 11010 2024031120      17656176561765017650176451765217639176431765117635
5 11010 20240321311765191765517656176451765817662176681766017658176501764917650
6 11010 202403     9999999999999999999999 999 99
- 11010 202404      SAULT STE MARIE, ONTARIO         17638024631 8421      EST1
5 11010 2024040110      17652176581765517649176491765217657176561765417657
5 11010 2024041120      17652176341764917662176521765717679176591766217657
5 11010 202404213017657817658176671766317653176631766717669176621766917662
